clade_name	clade_taxid	new_LMR0024_S32_R1_001_profiled_metagenome	new_LMR0023_S24_R1_001_profiled_metagenome	new_LMR0022_S46_R1_001_profiled_metagenome	new_LMR0021_S13_R1_001_profiled_metagenome	new_LMR0017_S44_R1_001_profiled_metagenome	new_LMR0012_S52_R1_001_profiled_metagenome	new_LMR0011_S49_R1_001_profiled_metagenome	new_LMR0009_S31_R1_001_profiled_metagenome	new_LMR0008_S47_R1_001_profiled_metagenome	new_LMR0007_S17_R1_001_profiled_metagenome	new_LMR0006_S281_R1_001_profiled_metagenome	new_LMR0004_S4_R1_001_profiled_metagenome	new_HUMO902_S50_R1_001_profiled_metagenome	new_HUMO899_S52_R1_001_profiled_metagenome	new_HUMO887_S48_R1_001_profiled_metagenome	new_HUMO865_S46_R1_001_profiled_metagenome	new_HUMO854_S44_R1_001_profiled_metagenome	new_HUMO848_S42_R1_001_profiled_metagenome	new_HUMO846_S54_R1_001_profiled_metagenome	new_HUMO844_S40_R1_001_profiled_metagenome	new_HUMO830_S62_R1_001_profiled_metagenome	new_HUMO829_S38_R1_001_profiled_metagenome	new_HUMO825_S36_R1_001_profiled_metagenome	new_HUMO775_S34_R1_001_profiled_metagenome	new_HUMO767_S32_R1_001_profiled_metagenome	new_HUMO756_S58_R1_001_profiled_metagenome	new_HUMO752_S30_R1_001_profiled_metagenome	new_HUMO749_S28_R1_001_profiled_metagenome	new_HUMO681_S26_R1_001_profiled_metagenome	new_HUMO678_S60_R1_001_profiled_metagenome	new_HUMO668_S24_R1_001_profiled_metagenome	new_HUMO624_S22_R1_001_profiled_metagenome	new_HUMO609_S56_R1_001_profiled_metagenome	new_HUMO587_S20_R1_001_profiled_metagenome	new_HUMO581_S18_R1_001_profiled_metagenome	new_HUMO546_S16_R1_001_profiled_metagenome	new_HUM1019_S191_R1_001_profiled_metagenome	new_HUM1017_S29_R1_001_profiled_metagenome	new_HUM1014_S22_R1_001_profiled_metagenome	new_HUM0994_S9_R1_001_profiled_metagenome	new_HUM0992_S15_R1_001_profiled_metagenome	new_HUM0991_S11_R1_001_profiled_metagenome	new_HUM0946_S8_R1_001_profiled_metagenome	new_HUM0941_S3_R1_001_profiled_metagenome	new_HUM0932_S19_R1_001_profiled_metagenome	new_HUM0931_S40_R1_001_profiled_metagenome	new_HUM0929_S35_R1_001_profiled_metagenome	new_HUM0898_S38_R1_001_profiled_metagenome	new_HUM0896_S30_R1_001_profiled_metagenome	new_HUM0894_S23_R1_001_profiled_metagenome	new_HUM0853_S48_R1_001_profiled_metagenome	new_HUM0851_S16_R1_001_profiled_metagenome	new_HUM0847_S12_R1_001_profiled_metagenome	new_HUM0816_S37_R1_001_profiled_metagenome	new_HUM0812_S25_R1_001_profiled_metagenome	new_HUM0741_S18_R1_001_profiled_metagenome	new_HUM0739_S190_R1_001_profiled_metagenome	new_HUM0738_S189_R1_001_profiled_metagenome	new_HUM0607_S188_R1_001_profiled_metagenome	new_HUM0604_S51_R1_001_profiled_metagenome	new_HUM0603_S36_R1_001_profiled_metagenome	new_HUM0583_S186_R1_001_profiled_metagenome	new_HUM0582_S39_R1_001_profiled_metagenome	new_HUM0579_S34_R1_001_profiled_metagenome	new_HUM0496_S6_R1_001_profiled_metagenome	new_HUM0495_S7_R1_001_profiled_metagenome	new_HUM0493_S42_R1_001_profiled_metagenome	new_HUM0444_S50_R1_001_profiled_metagenome	new_HUM0442_S283_R1_001_profiled_metagenome	new_HUM0439_S41_R1_001_profiled_metagenome	new_HUM0329_S27_R1_001_profiled_metagenome	new_HUM0324_S20_R1_001_profiled_metagenome	new_HUM0322_S282_R1_001_profiled_metagenome	new_HUM0235_S45_R1_001_profiled_metagenome	new_HUM0233_S187_R1_001_profiled_metagenome	new_HUM0152_S5_R1_001_profiled_metagenome	new_HUM0149_S28_R1_001_profiled_metagenome	new_HUM0148_S21_R1_001_profiled_metagenome	new_HUM0042_S1_R1_001_profiled_metagenome	new_HUM0041_S14_R1_001_profiled_metagenome	new_HUM0038_S10_R1_001_profiled_metagenome
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0	0	0	0	0.01676	0	0	0	0	0	0	0	0	0.04684	0.14605	0.46937	0	0	0.25922	0	0	0.0391	0.00293	0.18545	0.06518	0	0	1.06585	0	0	0	0	0	0.00281	0.02767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00138	0.11091	0	0	0	0.09512	0	0.00394	0.0302	0.37265	0.05069	0.06777	0.39098	0	0.01163	0	0	0	0	0	0.00466	0.02999	0	0	0	0	0	0.21336	0.02709	0.30893
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0	0	0	0	0.01676	0	0	0	0	0	0	0	0	0.04684	0.14605	0.46937	0	0	0.25922	0	0	0.0391	0.00293	0.18545	0.06518	0	0	1.06585	0	0	0	0	0	0.00281	0.02767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00138	0.11091	0	0	0	0.09512	0	0.00394	0.0302	0.37265	0.05069	0.06777	0.39098	0	0.01163	0	0	0	0	0	0.00466	0.02999	0	0	0	0	0	0.21336	0.02709	0.30893
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0	0	0	0	0.01676	0	0	0	0	0	0	0	0	0.04684	0.14605	0.46937	0	0	0.25922	0	0	0.0391	0.00293	0.18545	0.06518	0	0	1.06585	0	0	0	0	0	0.00281	0.02767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00138	0.11091	0	0	0	0.09512	0	0.00394	0.0302	0.37265	0.05069	0.06777	0.39098	0	0.01163	0	0	0	0	0	0.00466	0.02999	0	0	0	0	0	0.21336	0.02709	0.30893
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	0	0	0	0	0.01676	0	0	0	0	0	0	0	0	0.01812	0.10505	0.30907	0	0	0.14554	0	0	0.0391	0.00293	0.16739	0.03506	0	0	0.97452	0	0	0	0	0	0	0.02767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00138	0.11091	0	0	0	0.09512	0	0.00394	0.0302	0.31016	0.05069	0.06777	0.39098	0	0.01163	0	0	0	0	0	0.00404	0.02999	0	0	0	0	0	0.21336	0.02709	0.30893
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2157|28890|183925|2158|2159|2172|2173	0	0	0	0	0.01676	0	0	0	0	0	0	0	0	0.01812	0.10505	0.30907	0	0	0.14554	0	0	0.0391	0.00293	0.16739	0.03506	0	0	0.97452	0	0	0	0	0	0	0.02767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00138	0.11091	0	0	0	0.09512	0	0.00394	0.0302	0.31016	0.05069	0.06777	0.39098	0	0.01163	0	0	0	0	0	0.00404	0.02999	0	0	0	0	0	0.21336	0.02709	0.30893
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__SGB714	2157|28890|183925|2158|2159|2172|2173|	0	0	0	0	0.01676	0	0	0	0	0	0	0	0	0.01812	0.10505	0.30907	0	0	0.14554	0	0	0.0391	0.00293	0.16739	0.03506	0	0	0.97452	0	0	0	0	0	0	0.02767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00138	0.11091	0	0	0	0.09512	0	0.00394	0.0302	0.31016	0.05069	0.06777	0.39098	0	0.01163	0	0	0	0	0	0.00404	0.02999	0	0	0	0	0	0.21336	0.02709	0.30893
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	2157|28890|183925|2158|2159|2316	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02872	0.041	0.1603	0	0	0.11368	0	0	0	0	0.01805	0.03011	0	0	0.09133	0	0	0	0	0	0.00281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06249	0	0	0	0	0	0	0	0	0	0	0.00062	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	2157|28890|183925|2158|2159|2316|2317	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02872	0.041	0.1603	0	0	0.11368	0	0	0	0	0.01805	0.03011	0	0	0.09133	0	0	0	0	0	0.00281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06249	0	0	0	0	0	0	0	0	0	0	0.00062	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae|t__SGB698	2157|28890|183925|2158|2159|2316|2317|	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02872	0.041	0.1603	0	0	0.11368	0	0	0	0	0.01805	0.03011	0	0	0.09133	0	0	0	0	0	0.00281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06249	0	0	0	0	0	0	0	0	0	0	0.00062	0	0	0	0	0	0	0	0	0
k__Bacteria	2	61.88403	9.42576	20.35892	34.89949	3.09252	35.9989	27.09359	83.27371	54.43807	0.89891	0.89205	1.17539	71.05845	78.05041	80.03423	86.47522	82.41264	78.26467	80.07319	82.62622	71.33435	84.27627	88.82014	88.62709	82.42322	82.76625	77.20741	86.7185	78.37996	83.54722	87.65595	84.3904	85.78344	85.81172	82.52008	84.77338	0	93.68445	86.80349	81.5834	0	60.03331	80.45636	100	0	82.25495	39.80013	80.73679	81.47577	81.486	69.7032	78.31426	86.87244	80.10645	100	100	87.27017	84.24667	83.14874	74.80869	85.98793	85.07553	85.02982	82.69938	100	83.74491	71.742	76.62432	0	0	70.65898	83.88307	62.42338	71.87289	82.52163	73.9285	72.70999	82.06594	86.66107	85.28571	75.31396
k__Bacteria|p__Actinobacteria	2|201174	0.15704	0.0025	0.37226	0.93307	0	0.00506	1.09324	0	0.00181	0.01276	0	0.00162	0.11721	0.25355	0.40611	1.44832	0.5755	0.11019	2.55118	1.19406	3.98045	1.77139	0.08124	7.41404	2.29887	1.42392	0.23266	1.33808	0.93583	0.13499	0.64469	2.31024	1.11607	0.08554	0.40278	0.17862	0	0	0.3332	2.04839	0	0	1.52207	0	0	0.68366	0	2.55387	0.39323	1.22054	33.58868	0.38711	9.46453	0.55466	7.04844	16.56544	0.62143	0.75639	0.3708	0.34154	0.3478	2.13466	0.70561	2.70874	0	0.65784	0.65622	1.32079	0	0	2.93359	2.15442	1.039	0.09968	0.14913	52.26354	2.20534	1.09238	4.42784	0.5048	2.35836
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.15704	0.0025	0.37226	0.92842	0	0.00506	1.09324	0	0.00181	0.00758	0	0.00162	0	0.14852	0.05135	0.03602	0.08578	0	1.41516	0.62829	3.52642	0.97282	0	6.98045	2.06556	1.13667	0	0.17419	0.31166	0	0.36357	1.70981	0.21341	0.01109	0.01523	0	0	0	0.06045	1.41664	0	0	0.93439	0	0	0.20423	0	2.07805	0.03007	0.95472	33.15488	0.22674	9.24393	0.04672	6.84719	16.56544	0.03562	0	0.12347	0.09631	0.06053	1.24921	0.11032	0.14764	0	0.33968	0.30197	0.00888	0	0	2.43246	1.21078	0.87911	0	0	48.02568	1.69193	0.78288	3.40164	0.21199	0.91905
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0	0	0.12263	0	0	0	0	0	0	0	0	0	0	0.13199	0	0	0	0	0	0.02288	0	0.028	0	6.98045	2.00887	1.11764	0	0	0	0	0.24252	0	0	0.00648	0	0	0	0	0	1.41664	0	0	0	0	0	0	0	0.00666	0.03007	0	0	0.2061	9.18952	0.01276	0	16.56544	0	0	0.01632	0	0	0	0	0	0	0.02155	0.01451	0	0	0	0	0	0	0	0	0	0	0.07372	3.34538	0.21199	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0	0	0.12263	0	0	0	0	0	0	0	0	0	0	0.13199	0	0	0	0	0	0.02288	0	0.028	0	6.98045	2.00887	1.11764	0	0	0	0	0.24252	0	0	0.00648	0	0	0	0	0	1.41664	0	0	0	0	0	0	0	0.00666	0.03007	0	0	0.2061	9.18952	0.01276	0	16.56544	0	0	0.01632	0	0	0	0	0	0	0.02155	0.01451	0	0	0	0	0	0	0	0	0	0	0.07372	3.34538	0.21199	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	2|201174|1760|2037|2049|1654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00193	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_SGB17163	2|201174|1760|2037|2049|1654|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00193	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_SGB17163|t__SGB17163_group	2|201174|1760|2037|2049|1654||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00193	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47	2|201174|1760|2037|2049|1654|936548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47|t__SGB17167_group	2|201174|1760|2037|2049|1654|936548|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinotignum	2|201174|1760|2037|2049|1653174	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13199	0	0	0	0	0	0.0206	0	0.028	0	0.27746	0	0.0029	0	0	0	0	0.06128	0	0	0.00648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03007	0	0	0.2061	0.01988	0.01276	0	0	0	0	0.01632	0	0	0	0	0	0	0.02155	0.01451	0	0	0	0	0	0	0	0	0	0	0.07372	0	0.00141	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinotignum|s__Actinotignum_SGB5108	2|201174|1760|2037|2049|1653174|	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13199	0	0	0	0	0	0.0206	0	0.028	0	0.27746	0	0.0029	0	0	0	0	0.06128	0	0	0.00648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03007	0	0	0.2061	0.01988	0.01276	0	0	0	0	0.01632	0	0	0	0	0	0	0.02155	0.01451	0	0	0	0	0	0	0	0	0	0	0.07372	0	0.00141	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinotignum|s__Actinotignum_SGB5108|t__SGB5108	2|201174|1760|2037|2049|1653174||	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13199	0	0	0	0	0	0.0206	0	0.028	0	0.27746	0	0.0029	0	0	0	0	0.06128	0	0	0.00648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03007	0	0	0.2061	0.01988	0.01276	0	0	0	0	0.01632	0	0	0	0	0	0	0.02155	0.01451	0	0	0	0	0	0	0	0	0	0	0.07372	0	0.00141	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__GGB2631	2|201174|1760|2037|2049|	0	0	0.12263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6889	2.00887	1.11474	0	0	0	0	0.18123	0	0	0	0	0	0	0	0	1.41664	0	0	0	0	0	0	0	0	0	0	0	0	9.16965	0	0	16.56544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.34538	0.20866	0
