Query	Hit	Perc_ID	qlen	length	mismatch	gapopen	qstart	qend	sstart	ssend	evalue
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_18242_length_1577_cov_134.864652;tet(Q)	98.919	1787	1573	17	0	1	1573	1573	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_10779_length_1572_cov_146.844430;tet(Q)	98.917	1787	1570	17	0	1	1570	1570	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_12345_length_1572_cov_74.804878;tet(Q)	98.854	1787	1570	18	0	1	1570	1570	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_13315_length_1602_cov_162.349709;tet(Q)	98.792	1787	1573	19	0	1	1573	1573	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_12264_length_1577_cov_95.457293;tet(Q)	98.729	1787	1573	20	0	1	1573	1573	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_13982_length_1568_cov_100.023133;tet(Q)	98.658	1787	1565	21	0	6	1570	1565	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_12583_length_1597_cov_370.380026;tet(Q)	98.536	1787	1571	23	0	1	1571	7	1577	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_13557_length_1577_cov_64.404731;tet(Q)	98.156	1787	1573	29	0	1	1573	1573	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_17176_length_1577_cov_71.105782;tet(Q)	98.094	1787	1574	30	0	1	1574	1	1574	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_14220_length_1577_cov_119.362024;tet(Q)	98.03	1787	1574	31	0	1	1574	1	1574	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_8905_length_1577_cov_110.275296;tet(Q)	98.029	1787	1573	31	0	1	1573	1573	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_3020_length_3389_cov_21.496401;tet(Q)	97.962	1787	1570	32	0	1	1570	1570	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_11143_length_1572_cov_135.609097;tet(Q)	97.834	1787	1570	34	0	1	1570	1570	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_5946_length_1514_cov_22.660727;tet(Q)	98.478	1787	1511	23	0	130	1640	1	1511	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_14722_length_1409_cov_73.066470;tet(Q)	98.293	1787	1406	24	0	1	1406	1	1406	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_20754_length_1390_cov_18.335581;tet(Q)	98.628	1787	1385	19	0	189	1573	1385	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_14161_length_1777_cov_11.603949;tet(Q)	90.501	1787	1695	161	0	1	1695	1699	5	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_14467_length_1178_cov_119.548531;tet(Q)	99.234	1787	1175	9	0	493	1667	1	1175	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_17107_length_1209_cov_99.117851;tet(Q)	97.846	1787	1207	26	0	1	1207	1207	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_23703_length_1142_cov_4.542778;tet(Q)	99.298	1787	1139	8	0	649	1787	1	1139	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_23944_length_1061_cov_110.553678;tet(Q)	98.771	1787	1058	13	0	610	1667	1	1058	0
NODE_1658_length_7649_cov_7.405978;dfrA1	NODE_438_length_13558_cov_5.862623;dfrA1	100	470	470	0	0	1	470	1	470	0
NODE_1658_length_7649_cov_7.405978;dfrA1	NODE_2208_length_3577_cov_21.012209;dfrA1	100	470	470	0	0	1	470	1	470	0
NODE_1658_length_7649_cov_7.405978;dfrA1	NODE_1658_length_7649_cov_7.405978;dfrA1	100	470	470	0	0	1	470	1	470	0
NODE_1658_length_7649_cov_7.405978;dfrA1	NODE_433_length_13165_cov_15.872082;dfrA1	100	470	469	0	0	1	469	469	1	0
NODE_1658_length_7649_cov_7.405978;dfrA1	NODE_10000_length_2313_cov_4.629761;dfrA1	100	470	469	0	0	1	469	469	1	0
NODE_1658_length_7649_cov_7.405978;dfrA1	NODE_1371_length_9160_cov_10.577814;dfrA1	100	470	469	0	0	1	469	469	1	0
NODE_1658_length_7649_cov_7.405978;dfrA1	NODE_1703_length_6561_cov_6.154934;dfrA1	100	470	469	0	0	1	469	469	1	0
NODE_1658_length_7649_cov_7.405978;dfrA1	NODE_5632_length_3400_cov_5.904634;dfrA1	100	470	314	0	0	157	470	1	314	1.56E-167
NODE_1658_length_7649_cov_7.405978;aadA1	NODE_438_length_13558_cov_5.862623;aadA1	100	788	788	0	0	1	788	1	788	0
NODE_1658_length_7649_cov_7.405978;aadA1	NODE_2208_length_3577_cov_21.012209;aadA1	100	788	788	0	0	1	788	1	788	0
NODE_1658_length_7649_cov_7.405978;aadA1	NODE_5632_length_3400_cov_5.904634;aadA1	100	788	788	0	0	1	788	1	788	0
NODE_1658_length_7649_cov_7.405978;aadA1	NODE_1658_length_7649_cov_7.405978;aadA1	100	788	788	0	0	1	788	1	788	0
NODE_1658_length_7649_cov_7.405978;aadA1	NODE_433_length_13165_cov_15.872082;aadA1	100	788	787	0	0	1	787	787	1	0
NODE_1658_length_7649_cov_7.405978;aadA1	NODE_10000_length_2313_cov_4.629761;aadA1	100	788	787	0	0	1	787	787	1	0
NODE_1658_length_7649_cov_7.405978;aadA1	NODE_1371_length_9160_cov_10.577814;aadA1	100	788	787	0	0	1	787	787	1	0
NODE_1658_length_7649_cov_7.405978;aadA1	NODE_1703_length_6561_cov_6.154934;aadA1	100	788	787	0	0	1	787	787	1	0
NODE_1658_length_7649_cov_7.405978;aadA1	NODE_2599_length_4390_cov_4.482814;aadA1	96.188	788	787	30	0	1	787	787	1	0
NODE_1658_length_7649_cov_7.405978;qacEdelta1	NODE_438_length_13558_cov_5.862623;qacEdelta1	100	344	344	0	0	1	344	1	344	0
NODE_1658_length_7649_cov_7.405978;qacEdelta1	NODE_2208_length_3577_cov_21.012209;qacEdelta1	100	344	344	0	0	1	344	1	344	0
NODE_1658_length_7649_cov_7.405978;qacEdelta1	NODE_2467_length_4985_cov_5.320081;qacEdelta1	100	344	344	0	0	1	344	1	344	0
NODE_1658_length_7649_cov_7.405978;qacEdelta1	NODE_5632_length_3400_cov_5.904634;qacEdelta1	100	344	344	0	0	1	344	1	344	0
NODE_1658_length_7649_cov_7.405978;qacEdelta1	NODE_1658_length_7649_cov_7.405978;qacEdelta1	100	344	344	0	0	1	344	1	344	0
NODE_1658_length_7649_cov_7.405978;qacEdelta1	NODE_2599_length_4390_cov_4.482814;qacEdelta1	100	344	343	0	0	1	343	343	1	0
NODE_1658_length_7649_cov_7.405978;qacEdelta1	NODE_433_length_13165_cov_15.872082;qacEdelta1	100	344	343	0	0	1	343	343	1	0
NODE_1658_length_7649_cov_7.405978;qacEdelta1	NODE_1371_length_9160_cov_10.577814;qacEdelta1	100	344	343	0	0	1	343	343	1	0
NODE_1658_length_7649_cov_7.405978;sul1	NODE_438_length_13558_cov_5.862623;sul1	100	836	836	0	0	1	836	1	836	0
NODE_1658_length_7649_cov_7.405978;sul1	NODE_2467_length_4985_cov_5.320081;sul1	100	836	836	0	0	1	836	1	836	0
NODE_1658_length_7649_cov_7.405978;sul1	NODE_5632_length_3400_cov_5.904634;sul1	100	836	836	0	0	1	836	1	836	0
NODE_1658_length_7649_cov_7.405978;sul1	NODE_1658_length_7649_cov_7.405978;sul1	100	836	836	0	0	1	836	1	836	0
NODE_1658_length_7649_cov_7.405978;sul1	NODE_433_length_13165_cov_15.872082;sul1	100	836	835	0	0	1	835	835	1	0
NODE_1658_length_7649_cov_7.405978;sul1	NODE_1371_length_9160_cov_10.577814;sul1	100	836	835	0	0	1	835	835	1	0
NODE_1658_length_7649_cov_7.405978;sul1	NODE_2208_length_3577_cov_21.012209;sul1	100	836	758	0	0	1	758	1	758	0
NODE_1658_length_7649_cov_7.405978;sul1	NODE_21276_length_1393_cov_2.576981;sul1	99.852	836	674	1	0	162	835	674	1	0
NODE_5315_length_3366_cov_5.625491;tet(A)	NODE_1771_length_6057_cov_5.855048;tet(A)	100	1196	1196	0	0	1	1196	1	1196	0
NODE_5315_length_3366_cov_5.625491;tet(A)	NODE_444_length_18530_cov_13.726982;tet(A)	100	1196	1196	0	0	1	1196	1	1196	0
NODE_5315_length_3366_cov_5.625491;tet(A)	NODE_15749_length_1740_cov_6.200000;tet(A)	100	1196	1196	0	0	1	1196	1	1196	0
NODE_5315_length_3366_cov_5.625491;tet(A)	NODE_5315_length_3366_cov_5.625491;tet(A)	100	1196	1196	0	0	1	1196	1	1196	0
NODE_5315_length_3366_cov_5.625491;tet(A)	NODE_23542_length_1265_cov_2.337190;tet(A)	100	1196	1195	0	0	1	1195	1195	1	0
NODE_5315_length_3366_cov_5.625491;tet(A)	NODE_166_length_23123_cov_21.780562;tet(A)	100	1196	1195	0	0	1	1195	1195	1	0
NODE_5315_length_3366_cov_5.625491;tet(A)	NODE_1641_length_6717_cov_5.276043;tet(A)	100	1196	1195	0	0	1	1195	1195	1	0
NODE_5315_length_3366_cov_5.625491;tet(A)	NODE_856_length_6863_cov_15.943302;tet(A)	99.916	1196	1196	1	0	1	1196	1	1196	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_5807_length_3187_cov_18.301086;tet(O)	100	1916	1916	0	0	1	1916	1	1916	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_8378_length_2234_cov_38.088114;tet(O)	99.791	1916	1916	4	0	1	1916	1	1916	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_10701_length_2227_cov_69.389042;tet(O)	99.791	1916	1916	4	0	1	1916	1	1916	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_7373_length_2381_cov_45.672399;tet(O)	99.791	1916	1916	4	0	1	1916	1	1916	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_117_length_33266_cov_14.588118;tet(O)	99.791	1916	1915	4	0	1	1915	1915	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_7004_length_2535_cov_22.711694;tet(O)	99.791	1916	1915	4	0	1	1915	1915	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_3746_length_3339_cov_5.112058;tet(O)	99.791	1916	1915	4	0	1	1915	1915	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_5702_length_2757_cov_93.502591;tet(O)	99.739	1916	1916	5	0	1	1916	1	1916	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_10499_length_2223_cov_52.853321;tet(O)	99.739	1916	1916	5	0	1	1916	1	1916	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_5647_length_2803_cov_8.473435;tet(O)	99.739	1916	1915	5	0	1	1915	1915	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_6786_length_3234_cov_21.386285;tet(O)	99.739	1916	1915	5	0	1	1915	1915	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_8415_length_2491_cov_42.014778;tet(O)	99.739	1916	1915	5	0	1	1915	1915	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_6673_length_2610_cov_2.951859;tet(O)	99.687	1916	1916	6	0	1	1916	1	1916	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_1788_length_6478_cov_19.186829;tet(O)	99.687	1916	1916	6	0	1	1916	1	1916	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_3209_length_3048_cov_22.417641;tet(O)	99.687	1916	1916	6	0	1	1916	1	1916	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_17_length_54832_cov_23.768699;tet(O)	99.687	1916	1916	6	0	1	1916	1	1916	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_5847_length_2965_cov_27.212715;tet(O)	99.687	1916	1916	6	0	1	1916	1	1916	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_8385_length_2494_cov_51.936039;tet(O)	99.687	1916	1916	6	0	1	1916	1	1916	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_3939_length_3151_cov_14.405362;tet(O)	99.687	1916	1915	6	0	1	1915	1915	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_3969_length_3300_cov_13.007088;tet(O)	99.687	1916	1915	6	0	1	1915	1915	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_9154_length_2223_cov_24.075646;tet(O)	99.687	1916	1915	6	0	1	1915	1915	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_1093_length_10744_cov_38.068201;tet(O)	99.687	1916	1915	6	0	1	1915	1915	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_7442_length_2268_cov_25.048803;tet(O)	99.687	1916	1915	6	0	1	1915	1915	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_1897_length_6077_cov_28.752242;tet(O)	99.687	1916	1915	6	0	1	1915	1915	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_7358_length_2268_cov_20.857659;tet(O)	99.687	1916	1915	6	0	1	1915	1915	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_4577_length_2280_cov_26.506517;tet(O)	99.635	1916	1916	7	0	1	1916	1	1916	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_11294_length_2227_cov_33.452118;tet(O)	99.634	1916	1915	7	0	1	1915	1915	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_1193_length_7620_cov_11.829874;tet(O)	99.582	1916	1916	8	0	1	1916	1	1916	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_1339_length_2488_cov_29.609947;tet(O)	99.582	1916	1916	8	0	1	1916	1	1916	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_1957_length_3978_cov_3.386184;tet(O)	99.582	1916	1916	8	0	1	1916	1	1916	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_47_length_41657_cov_26.713091;tet(O)	99.582	1916	1915	8	0	1	1915	1915	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_2703_length_3801_cov_9.530432;tet(O)	99.373	1916	1915	12	0	1	1915	1915	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_5143_length_2490_cov_29.016427;tet(O)	99.373	1916	1915	12	0	1	1915	1915	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_7728_length_2481_cov_86.298434;tet(O)	99.321	1916	1915	13	0	1	1915	1915	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_8375_length_2227_cov_29.787293;tet(O)	98.696	1916	1917	23	2	1	1916	1	1916	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_9231_length_1731_cov_21.985084;tet(O)	99.644	1916	1403	5	0	513	1915	1403	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_17716_length_1584_cov_67.200785;tet(O)	99.753	1916	1217	3	0	699	1915	1217	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_9944_length_2036_cov_34.543160;tet(O)	99.351	1916	1232	8	0	684	1915	1232	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_14991_length_1471_cov_36.389831;tet(O)	99.671	1916	1217	4	0	700	1916	1	1217	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_13462_length_1488_cov_30.113050;tet(O)	99.589	1916	1217	5	0	699	1915	1217	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_17152_length_1380_cov_42.498113;tet(O)	99.589	1916	1217	5	0	699	1915	1217	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_12326_length_1488_cov_32.419400;tet(O)	99.589	1916	1217	5	0	700	1916	1	1217	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_14861_length_1484_cov_62.979706;tet(O)	99.507	1916	1217	6	0	699	1915	1217	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_12367_length_1488_cov_34.017446;tet(O)	99.425	1916	1217	7	0	699	1915	1217	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_10747_length_1380_cov_44.236981;tet(O)	99.425	1916	1217	7	0	699	1915	1217	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_12799_length_1529_cov_25.628901;tet(O)	99.425	1916	1217	7	0	699	1915	1217	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_13650_length_1488_cov_21.291696;tet(O)	99.343	1916	1217	8	0	699	1915	1217	1	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_11748_length_2003_cov_24.278234;tet(O)	99.501	1916	1202	6	0	715	1916	1	1202	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_24301_length_1122_cov_30.182755;tet(O)	99.907	1916	1079	1	0	1	1079	1	1079	0
NODE_5807_length_3187_cov_18.301086;tet(O)	NODE_28762_length_1110_cov_39.140284;tet(O)	99.906	1916	1067	1	0	1	1067	1	1067	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_3939_length_3151_cov_14.405362;tet(O)	100	1067	1067	0	0	1	1067	1915	849	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_6786_length_3234_cov_21.386285;tet(O)	100	1067	1067	0	0	1	1067	1915	849	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_10701_length_2227_cov_69.389042;tet(O)	100	1067	1067	0	0	1	1067	1	1067	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_5847_length_2965_cov_27.212715;tet(O)	100	1067	1067	0	0	1	1067	1	1067	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_7373_length_2381_cov_45.672399;tet(O)	100	1067	1067	0	0	1	1067	1	1067	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_28762_length_1110_cov_39.140284;tet(O)	100	1067	1067	0	0	1	1067	1	1067	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_5702_length_2757_cov_93.502591;tet(O)	99.906	1067	1067	1	0	1	1067	1	1067	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_8378_length_2234_cov_38.088114;tet(O)	99.906	1067	1067	1	0	1	1067	1	1067	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_7358_length_2268_cov_20.857659;tet(O)	99.906	1067	1067	1	0	1	1067	1915	849	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_10499_length_2223_cov_52.853321;tet(O)	99.906	1067	1067	1	0	1	1067	1	1067	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_3746_length_3339_cov_5.112058;tet(O)	99.906	1067	1067	1	0	1	1067	1915	849	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_1957_length_3978_cov_3.386184;tet(O)	99.906	1067	1067	1	0	1	1067	1	1067	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_8385_length_2494_cov_51.936039;tet(O)	99.906	1067	1067	1	0	1	1067	1	1067	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_5807_length_3187_cov_18.301086;tet(O)	99.906	1067	1067	1	0	1	1067	1	1067	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_6673_length_2610_cov_2.951859;tet(O)	99.813	1067	1067	2	0	1	1067	1	1067	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_1788_length_6478_cov_19.186829;tet(O)	99.813	1067	1067	2	0	1	1067	1	1067	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_3209_length_3048_cov_22.417641;tet(O)	99.813	1067	1067	2	0	1	1067	1	1067	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_17_length_54832_cov_23.768699;tet(O)	99.813	1067	1067	2	0	1	1067	1	1067	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_9154_length_2223_cov_24.075646;tet(O)	99.813	1067	1067	2	0	1	1067	1915	849	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_1093_length_10744_cov_38.068201;tet(O)	99.813	1067	1067	2	0	1	1067	1915	849	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_7442_length_2268_cov_25.048803;tet(O)	99.813	1067	1067	2	0	1	1067	1915	849	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_1897_length_6077_cov_28.752242;tet(O)	99.813	1067	1067	2	0	1	1067	1915	849	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_7004_length_2535_cov_22.711694;tet(O)	99.813	1067	1067	2	0	1	1067	1915	849	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_24301_length_1122_cov_30.182755;tet(O)	99.813	1067	1067	2	0	1	1067	1	1067	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_8375_length_2227_cov_29.787293;tet(O)	99.719	1067	1067	3	0	1	1067	1	1067	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_47_length_41657_cov_26.713091;tet(O)	99.719	1067	1067	3	0	1	1067	1915	849	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_4577_length_2280_cov_26.506517;tet(O)	99.719	1067	1067	3	0	1	1067	1	1067	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_3969_length_3300_cov_13.007088;tet(O)	99.719	1067	1067	3	0	1	1067	1915	849	0
NODE_28762_length_1110_cov_39.140284;tet(O)	NODE_1193_length_7620_cov_11.829874;tet(O)	99.719	1067	1067	3	0	1	1067	1	1067	0
